,log_id,label,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,ad_click_list_v001,ad_click_list_v002,ad_click_list_v003,ad_close_list_v001,ad_close_list_v002,ad_close_list_v003,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
0,655370077,0,101337,8,2,32,195,2,20,7,28,118,2318,7,19202,15353,8,1801,4,55,1,289,44,17,10.0,19117^10196^35062^30157^35991,2035^1690^1036^1502^1669,162^328^312,24107,1218,173,202206030139,194^140^76^188^51,8,17
1,688896014,0,101431,5,2,14,127,3,12,7,26,171,2288,7,14452,15773,5,1082,5,55,1,368,34,16,10.0,24075^24498^17926^30426^32776,1779,304^162^321^190,24107,1218,173,202206031028,78^25^86^44^67,4,17
2,654963116,0,100476,7,2,14,135,2,18,5,26,345,1501,7,29291,18025,5,2065,4,15,1,227,23,26,10.0,20974^15666^32675^26463,1653^1227^1036^2017,312^150^350^344^240,24107,1218,173,202206031077,98^98^29^39^121,5,17
3,680319117,0,100012,8,2,32,411,2,12,3,28,181,2427,3,24953,17949,5,2052,4,45,1,163,22,15,10.0,14737^25802^32492^13240^33873,1126^1037^1730^1719^1382,312^280^162^305^367,24107,1218,190,202206030232,98^78^168^8^0,0,17
4,600890133,0,100327,6,2,33,107,2,15,8,19,121,1455,7,11002,19952,8,1593,4,23,1,345,28,15,10.0,34515^29448^32895^10769^32842,1036^1216^1466^1717^1044,293,24107,1218,173,202206030154,0^67^0^0^199,4,11
5,943177997,0,100811,7,4,30,177,3,32,2,12,110,1343,6,23031,13078,3,2056,3,24,1,152,46,18,10.0,34999^21493^20284^10873^30172,1557^1036^1795^1511^1522,293,24107,1218,173,202206030704,86^199^80^62^208,2,17
6,800531747,0,101360,5,2,39,362,2,14,5,18,111,2358,7,23579,13404,10,1885,4,27,1,174,27,17,10.0,33562^35882^24249^35422^22840,1586^1235^1036,162^190^246^116^250,24107,1218,173,202206030483,98^168^199^78^112,2,17
7,136890502,0,100351,2,2,29,396,2,34,5,19,354,1868,7,21241,19722,8,1776,3,22,1,105,23,16,10.0,17421^12384^28148,1036^1779,141,24107,1068,173,202206030009,177^142^16,4,17
8,128032639,0,100994,5,2,40,346,5,33,2,18,163,2358,7,11042,18758,8,1546,4,27,1,171,47,15,10.0,21863^15724^23486^24397,1892^1955^1499^1828^1795,336^168,10684,1218,173,202206030679,216^168^173^112^150,4,17
9,875918907,0,100597,8,2,31,360,2,24,5,32,191,1957,7,30205,13620,5,1151,5,13,1,327,41,14,10.0,19051^16307,1392^1041^1982^1518^1036,344^199^301^162^240,24107,1218,173,202206031137,65^98^98^201^78,9,17
10,301526485,0,101164,8,4,26,297,2,18,5,21,213,2128,3,34729,14331,8,1401,5,25,1,301,29,16,10.0,32414^20883^33764^30212^10625,1740^2056^1245^1964^1031,162^321^280,24107,1218,173,202206031752,98^65^220^98^7,8,17
