,u_userId,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,u_newsCatInterests,u_newsCatDislike,u_newsCatInterestsST,u_click_ca2_news,i_docId,i_s_sourceId,i_regionEntity,i_cat,i_entities,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_pl,e_rn,e_section,e_et,label,cillabel,pro
0,268875,14,17,14,17,2,216^0^213^199^0,98^108,sdv-pii-op6er,sdv-pii-5l9f0,sdv-pii-5yhrx,c3f2bb7a790552e3516456f1064065cc1d2acdd0,336,123,sdv-pii-4jomx,0,2,13,17,957,4,2109,3,0,202206081890,-1,-1,0
1,162663,16,17,14,17,8,41^15^147^0^220,0,sdv-pii-su4xj,sdv-pii-l4zm6,sdv-pii-yau0y,58ad3133d62eb8b16254077e49ece31be9c8e306,4,139,sdv-pii-w7xaa,8,0,13,19,1193,6,630,6,0,202206081587,-1,-1,0
2,215811,14,17,14,17,0,207^220^16^98^58,0,sdv-pii-scnoc,sdv-pii-odpgt,sdv-pii-qtna4,ba8e89fc7cc43d4fec6605f1860482e0d3d3a770,0,213,sdv-pii-b4j4a,0,1,13,18,1294,7,1606,2,0,202206081204,-1,-1,0
3,110822,16,11,14,13,0,140^3^112^168^134,0,sdv-pii-ealnq,sdv-pii-n9fr8,sdv-pii-nxfij,c4d3ed25402e08c1d3633c806bc0987219a36edb,3187,217,sdv-pii-eru92,3,8,13,20,1033,9,1466,7,0,202206080692,-1,-1,0
4,266039,14,16,14,17,2,0,0,sdv-pii-w7y2e,sdv-pii-t6332,sdv-pii-cbmxq,a6f40e36a4df17eb23baceafa8b8a839ff05d4fa,3,4,sdv-pii-s42d0,9,9,13,19,623,9,1821,2,0,202206080656,1,-1,0
5,161565,14,17,10,11,9,0,0,sdv-pii-n2zg9,sdv-pii-83dde,sdv-pii-9w825,14cbe3735e6fd61add145586131b3cab9eb4280b,0,3,sdv-pii-gbf3i,0,8,13,12,822,11,3133,2,0,202206082162,-1,-1,0
6,270061,16,17,14,17,0,199^78^98^173^169,0,sdv-pii-1fadh,sdv-pii-51ctv,sdv-pii-8owwa,7f62f107159c186104f1f6ca53d9e79c01d1987d,0,35,sdv-pii-pzzzk,0,0,13,20,190,3,3121,7,1,202206081050,-1,-1,0
7,209132,11,17,14,17,9,78^98^0^98^98,0,sdv-pii-f4ldz,sdv-pii-ep6jr,sdv-pii-agaej,58ad3133d62eb8b16254077e49ece31be9c8e306,3187,175,sdv-pii-hhhn1,2,1,13,17,445,12,40,2,0,202206082236,-1,-1,0
8,108265,16,15,14,16,5,98^98^78^112^98,0,sdv-pii-jjaxm,sdv-pii-80tu1,sdv-pii-3g8me,649d02b90c5b67640c52888c4b91200d886cba83,0,184,sdv-pii-wh0id,0,9,13,20,130,17,8,2,1,202206081235,-1,-1,0
9,144670,14,17,14,17,0,98^98^78^213^98,0,sdv-pii-g9q31,sdv-pii-a65zp,sdv-pii-d0tsj,436e73013ef1a2604c91f765d8e6424460d09a17,255,187,sdv-pii-ubu3o,0,0,13,20,356,5,2512,2,0,202206081854,-1,-1,0
